estacion,provincia,altura,numero,NroOACI,LAT_decimal,LON_decimal,mes_txt,prec_sup_1mm,humedad,nubosidad,prec_mm,temp,temp_max,temp_min,viento
BASE BELGRANO II,ANTARTIDA,256.0,89034.0,SAYB,-77.86666666666666,-34.61666666666667,Jul,S/D,S/D,4.1,S/D,-20.9,-17.5,-25.0,S/D
BASE BELGRANO II,ANTARTIDA,256.0,89034.0,SAYB,-77.86666666666666,-34.61666666666667,Ago,S/D,S/D,4.3,S/D,-20.7,-17.1,-24.9,S/D
BASE BELGRANO II,ANTARTIDA,256.0,89034.0,SAYB,-77.86666666666666,-34.61666666666667,Sep,S/D,S/D,4.7,S/D,-18.4,-14.9,-22.8,S/D
BASE BELGRANO II,ANTARTIDA,256.0,89034.0,SAYB,-77.86666666666666,-34.61666666666667,Oct,S/D,S/D,4.8,S/D,-14.1,-10.2,-18.8,S/D
BASE BELGRANO II,ANTARTIDA,256.0,89034.0,SAYB,-77.86666666666666,-34.61666666666667,Nov,S/D,S/D,5.0,S/D,-7.0,-3.2,-11.5,S/D
BASE BELGRANO II,ANTARTIDA,256.0,89034.0,SAYB,-77.86666666666666,-34.61666666666667,Dic,S/D,S/D,4.9,S/D,-2.7,0.8,-6.8,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Ene,S/D,84.9,7.1,S/D,2.2,4.3,0.4,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Feb,S/D,85.4,7.0,S/D,2.0,3.9,0.2,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Mar,S/D,86.8,6.9,S/D,0.9,2.9,-1.2,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Abr,S/D,S/D,6.8,S/D,-1.2,0.9,-3.4,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,May,S/D,S/D,6.5,S/D,-2.8,-0.4,-5.3,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Jun,S/D,S/D,6.4,S/D,-5.2,-2.5,-8.1,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Jul,S/D,S/D,6.4,S/D,-5.8,-3.0,-9.0,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Ago,S/D,S/D,6.6,S/D,-5.3,-2.6,-8.3,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Sep,S/D,S/D,6.7,S/D,-3.7,-1.2,-6.5,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Oct,S/D,S/D,6.9,S/D,-1.9,0.2,-4.2,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Nov,S/D,87.6,7.0,S/D,-0.2,1.7,-2.2,S/D
BASE CARLINI (EX JUBANY),ANTARTIDA,11.0,89053.0,SAYJ,-62.233333333333334,-58.65,Dic,S/D,84.7,7.0,S/D,1.2,3.2,-0.6,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Ene,S/D,80.1,6.3,S/D,1.5,4.3,-1.2,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Feb,S/D,79.5,6.0,S/D,0.9,3.9,-2.0,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Mar,S/D,S/D,5.9,S/D,-2.0,1.4,-5.2,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Abr,S/D,S/D,5.7,S/D,-5.5,-1.7,-8.9,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,May,S/D,S/D,5.4,S/D,-7.4,-3.2,-11.2,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Jun,S/D,S/D,5.3,S/D,-10.4,-6.2,-14.1,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Jul,S/D,S/D,5.1,S/D,-10.8,-6.4,-15.0,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Ago,S/D,S/D,5.3,S/D,-9.5,-5.1,-13.7,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Sep,S/D,S/D,5.5,S/D,-6.9,-2.6,-10.9,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Oct,S/D,S/D,5.8,S/D,-4.1,-0.2,-7.8,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Nov,S/D,S/D,6.0,S/D,-0.9,2.3,-3.9,S/D
BASE ESPERANZA,ANTARTIDA,24.0,88963.0,SAYE,-63.38333333333333,-56.983333333333334,Dic,S/D,79.4,6.0,S/D,0.8,3.8,-1.8,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Ene,S/D,90.2,6.6,S/D,-0.8,1.7,-3.0,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Feb,S/D,S/D,6.4,S/D,-1.8,1.0,-4.2,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Mar,S/D,S/D,6.1,S/D,-5.5,-2.1,-8.6,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Abr,S/D,S/D,5.7,S/D,-10.0,-6.1,-13.7,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,May,S/D,S/D,5.0,S/D,-11.9,-7.4,-16.1,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Jun,S/D,S/D,5.1,S/D,-14.9,-10.7,-18.7,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Jul,S/D,S/D,4.8,S/D,-14.9,-10.3,-19.3,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Ago,S/D,S/D,5.0,S/D,-13.8,-9.3,-18.1,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Sep,S/D,S/D,5.3,S/D,-10.6,-6.1,-14.8,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Oct,S/D,S/D,5.7,S/D,-7.3,-3.6,-11.0,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Nov,S/D,S/D,6.2,S/D,-3.4,-0.4,-6.2,S/D
BASE MARAMBIO,ANTARTIDA,198.0,89055.0,SAWB,-64.23333333333333,-56.61666666666667,Dic,S/D,88.4,6.3,S/D,-1.3,1.3,-3.7,S/D
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Ene,S/D,87.1,7.5,S/D,1.3,3.6,-0.7,19.2
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Feb,S/D,87.2,7.4,S/D,1.4,3.4,-0.4,23.0
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Mar,S/D,88.0,7.2,S/D,0.3,2.4,-1.6,23.4
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Abr,S/D,S/D,7.2,S/D,-1.8,0.4,-4.1,23.5
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,May,S/D,S/D,6.8,S/D,-5.0,-2.0,-8.1,21.5
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Jun,S/D,S/D,6.6,S/D,-7.5,-3.9,-11.3,20.4
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Jul,S/D,S/D,6.2,S/D,-9.4,-5.3,-14.1,21.6
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Ago,S/D,S/D,6.3,S/D,-8.1,-4.1,-12.4,22.9
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Sep,S/D,S/D,6.6,S/D,-5.6,-2.0,-9.8,23.9
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Oct,S/D,S/D,7.1,S/D,-2.7,0.6,-6.0,21.6
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Nov,S/D,S/D,7.2,S/D,-0.6,2.5,-3.2,20.6
BASE ORCADAS,ANTARTIDA,12.0,88968.0,SAYO,-60.733333333333334,-44.733333333333334,Dic,S/D,86.5,7.3,S/D,0.5,3.0,-1.7,18.3
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Ene,S/D,71.2,6.3,S/D,1.9,4.5,-0.5,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Feb,S/D,74.6,6.5,S/D,1.0,3.5,-1.3,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Mar,S/D,S/D,6.4,S/D,-0.8,1.7,-3.5,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Abr,S/D,S/D,6.1,S/D,-2.9,-0.5,-5.5,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,May,S/D,S/D,5.9,S/D,-4.8,-2.0,-7.8,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Jun,S/D,S/D,5.2,S/D,-8.9,-5.5,-13.0,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Jul,S/D,S/D,5.4,S/D,-11.5,-7.3,-16.1,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Ago,S/D,S/D,5.8,S/D,-11.2,-6.7,-16.3,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Sep,S/D,S/D,6.2,S/D,-9.0,-4.8,-14.1,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Oct,S/D,S/D,6.5,S/D,-5.3,-1.6,-9.6,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Nov,S/D,S/D,6.3,S/D,-1.8,1.5,-5.4,S/D
BASE SAN MARTIN,ANTARTIDA,7.0,89066.0,SAYS,-68.11666666666666,-67.1,Dic,S/D,73.2,6.2,S/D,0.8,3.5,-2.0,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Ene,11.9,77.6,5.3,207.1,22.9,28.1,19.0,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Feb,11.0,78.6,5.2,189.1,22.6,27.6,18.8,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Mar,10.1,77.9,4.8,181.0,21.7,26.9,17.9,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Abr,7.7,77.7,4.5,173.9,19.6,24.4,15.9,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,May,8.6,79.0,4.7,196.1,16.2,20.6,12.9,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Jun,8.6,79.8,4.8,185.5,15.2,19.3,11.9,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Jul,7.8,74.5,4.4,135.2,14.9,19.6,11.2,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Ago,6.5,67.4,4.0,106.4,16.9,22.1,12.8,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Sep,9.1,70.4,4.4,198.1,18.0,23.3,13.8,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Oct,12.0,75.3,5.0,277.9,19.8,25.0,15.6,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Nov,8.9,72.1,4.7,194.8,21.0,26.3,16.5,S/D
BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,Dic,11.0,75.2,5.1,204.5,22.5,27.5,18.3,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Ene,7.0,68.5,3.3,113.8,22.3,29.6,15.0,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Feb,6.0,73.8,3.4,106.0,21.0,28.3,14.1,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Mar,6.5,77.2,3.3,133.0,18.8,26.1,12.3,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Abr,6.9,78.5,3.6,106.7,14.8,22.0,9.2,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,May,4.6,81.8,4.1,58.7,11.4,17.8,6.2,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Jun,3.8,81.2,4.2,37.8,8.3,14.6,3.1,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Jul,3.9,79.8,4.2,35.4,7.3,13.8,2.0,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Ago,3.5,75.0,3.9,41.2,9.4,16.6,3.6,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Sep,5.1,72.9,3.9,68.2,11.8,18.8,5.6,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Oct,8.0,73.7,4.1,118.9,15.2,21.7,8.9,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Nov,7.5,69.0,3.6,94.8,18.4,25.3,11.4,S/D
BOLIVAR AERO,BUENOS AIRES,94.0,87640.0,SAZI,-36.18333333333333,-61.06666666666667,Dic,7.2,66.0,3.3,103.6,21.2,28.6,13.7,S/D
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Ene,7.5,64.6,3.2,134.4,24.9,30.1,20.2,8.9
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Feb,6.8,69.1,3.2,129.3,23.8,28.9,19.4,8.3
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Mar,6.7,72.0,3.2,120.0,22.0,27.0,17.7,7.6
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Abr,7.1,75.6,3.6,130.3,18.2,23.2,14.1,7.2
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,May,5.2,78.7,4.1,93.5,14.8,19.4,11.1,7.1
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Jun,4.9,78.2,4.3,61.5,12.0,16.4,8.4,7.2
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Jul,5.6,77.0,4.2,74.4,11.0,15.5,7.5,7.7
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Ago,4.9,72.6,4.0,70.3,13.0,17.9,8.9,8.4
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Sep,5.8,69.5,3.9,80.6,14.9,19.7,10.6,9.2
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25.0,87585.0,SABA,-34.583333333333336,-58.483333333333334,Oct,7.9,69.4,4.0,122.9,17.9,22.6,13.4,9.5
