Estadísticas Climatológicas Normales - período 1991-2020													
													
Se deja constancia que la información vertida en el presente informe puede sufrir variaciones debido a los procesos de consistencia y depuración a los que es sometida la misma	
S/D: Sin Dato	
Las estadísticas de las estaciones que poseen un asterisco(*) en su nombre, fueron confeccionadas con un período algo menor que 1991-2020  


Estación	Valor Medio de	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic	
TUCUMÁN AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.8	7.0	7.2	5.0	3.2	2.0	0.8	0.5	1.6	4.8	5.7	7.6	
SANTIAGO DEL ESTERO AERO	Temperatura (°C)	27.0	25.8	23.8	20.1	16.2	12.9	12.1	15.4	19.1	22.8	25.0	26.7	
SANTIAGO DEL ESTERO AERO	Temperatura máxima (°C)	34.2	32.7	30.5	26.7	23.1	20.4	20.9	24.8	27.6	30.6	32.5	34.1	
SANTIAGO DEL ESTERO AERO	Temperatura mínima (°C)	20.7	20.0	18.5	14.9	10.7	7.1	4.9	7.2	10.8	15.6	18.1	20.2	
SANTIAGO DEL ESTERO AERO	Humedad relativa (%)	65.2	68.9	72.8	75.3	74.9	72.7	62.9	52.2	49.2	54.7	57.3	61.3	
SANTIAGO DEL ESTERO AERO	Velocidad del Viento (km/h) (2011-2020)	9.2	8.6	7.7	7.7	7.0	6.8	7.5	8.8	10.0	10.6	10.7	10.0	
SANTIAGO DEL ESTERO AERO	Nubosidad total (octavos)	4.0	4.1	4.2	4.4	4.3	4.2	3.2	2.6	3.1	3.8	3.7	3.9	
SANTIAGO DEL ESTERO AERO	Precipitación (mm)	139.3	106.5	94.3	39.9	16.0	9.3	1.6	3.5	10.0	55.2	71.8	105.0	
SANTIAGO DEL ESTERO AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.8	7.0	7.2	5.0	3.2	2.0	0.8	0.5	1.6	4.8	5.7	7.6	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Temperatura (°C)	27.1	26.3	24.4	21.1	17.0	15.4	14.3	17.0	19.7	23.0	24.3	26.2	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Temperatura máxima (°C)	33.8	33.0	31.3	27.7	23.8	22.1	22.3	25.7	27.8	30.0	31.4	33.0	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Temperatura mínima (°C)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Humedad relativa (%)	71.1	73.3	77.1	81.1	81.3	80.7	73.8	64.8	62.5	67.3	68.5	69.4	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Nubosidad total (octavos)	3.6	3.6	3.5	3.9	4.0	4.5	3.6	2.8	3.3	3.7	3.3	3.5	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Precipitación (mm)	164.3	115.8	137.0	117.6	48.8	23.4	12.8	24.8	31.2	98.3	125.3	133.6	
PRESIDENCIA ROQUE SAENZ PEÑA AERO*	Frecuencia de días con Precipitación superior a 1.0 mm	7.6	6.5	7.3	6.6	4.6	3.0	2.0	2.5	3.4	7.1	6.9	7.0	
RESISTENCIA AERO	Temperatura (°C)	26.9	26.1	24.5	21.4	17.7	15.8	14.8	16.9	19.2	22.2	23.8	26.0	
RESISTENCIA AERO	Temperatura máxima (°C)	33.4	32.3	30.7	27.4	23.7	21.7	21.6	24.4	26.2	28.5	30.1	32.2	
RESISTENCIA AERO	Temperatura mínima (°C)	21.2	20.8	19.4	16.4	12.8	11.1	9.4	10.7	12.9	16.5	17.7	20.1	
RESISTENCIA AERO	Humedad relativa (%)	71.5	74.1	76.7	80.0	82.2	81.9	76.6	70.5	68.8	71.9	71.2	71.4	
RESISTENCIA AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
RESISTENCIA AERO	Nubosidad total (octavos)	3.7	3.7	3.6	3.8	4.0	4.4	3.8	3.4	3.7	4.0	3.4	3.7	
RESISTENCIA AERO	Precipitación (mm)	179.9	156.8	161.0	165.1	86.7	59.9	24.4	35.3	53.6	138.2	175.5	156.7	
RESISTENCIA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.3	7.3	6.9	6.7	5.2	4.0	2.7	2.9	4.9	7.8	8.0	7.8	
FORMOSA AERO	Temperatura (°C)	27.7	26.9	25.6	22.7	19.0	17.3	16.4	18.3	20.4	23.4	24.8	26.9	
FORMOSA AERO	Temperatura máxima (°C)	34.1	33.0	31.7	28.6	24.5	22.8	22.7	25.4	27.2	29.5	30.9	33.0	
FORMOSA AERO	Temperatura mínima (°C)	22.5	22.0	20.6	18.0	14.6	13.1	11.5	12.7	14.7	18.2	19.2	21.4	
FORMOSA AERO	Humedad relativa (%)	71.5	74.2	76.4	78.9	81.2	81.0	76.4	70.3	69.3	72.4	71.1	71.4	
FORMOSA AERO	Velocidad del Viento (km/h) (2011-2020)	12.4	11.5	10.8	10.5	11.2	12.2	12.1	14.8	14.3	15.4	13.7	12.9	
FORMOSA AERO	Nubosidad total (octavos)	4.0	4.0	3.7	3.8	4.1	4.5	4.0	3.5	3.8	4.2	3.7	3.9	
FORMOSA AERO	Precipitación (mm)	163.5	135.6	138.2	159.6	110.1	60.3	41.0	34.8	74.8	150.3	159.9	178.4	
FORMOSA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.6	7.4	6.8	6.9	6.0	4.7	3.4	3.6	5.7	8.3	7.8	7.8	
BERNARDO DE IRIGOYEN AERO	Temperatura (°C)	22.9	22.6	21.7	19.6	16.2	15.2	14.9	16.9	18.0	19.8	21.0	22.5	
BERNARDO DE IRIGOYEN AERO	Temperatura máxima (°C)	28.1	27.6	26.9	24.4	20.6	19.3	19.6	22.1	23.3	25.0	26.3	27.5	
BERNARDO DE IRIGOYEN AERO	Temperatura mínima (°C)	19.0	18.8	17.9	15.9	12.9	11.9	11.2	12.8	13.8	15.6	16.5	18.3	
BERNARDO DE IRIGOYEN AERO	Humedad relativa (%)	77.6	78.6	77.9	77.7	79.0	79.8	74.5	67.4	70.4	75.3	72.1	75.2	
BERNARDO DE IRIGOYEN AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
BERNARDO DE IRIGOYEN AERO	Nubosidad total (octavos)	5.3	5.2	4.8	4.5	4.7	4.8	4.4	4.0	4.4	5.0	4.7	5.1	
BERNARDO DE IRIGOYEN AERO	Precipitación (mm)	207.1	189.1	181.0	173.9	196.1	185.5	135.2	106.4	198.1	277.9	194.8	204.5	
BERNARDO DE IRIGOYEN AERO	Frecuencia de días con Precipitación superior a 1.0 mm	11.9	11.0	10.1	7.7	8.6	8.6	7.8	6.5	9.1	12.0	8.9	11.0	
CORRIENTES AERO	Temperatura (°C)	26.9	26.1	24.5	21.6	18.0	16.1	15.2	17.1	19.1	22.1	23.8	26.0	
CORRIENTES AERO	Temperatura máxima (°C)	33.0	32.0	30.5	27.3	23.4	21.4	21.2	23.8	25.8	28.1	29.7	31.9	
CORRIENTES AERO	Temperatura mínima (°C)	21.6	21.1	19.7	17.2	13.7	12.0	10.4	11.6	13.6	16.8	18.0	20.5	
CORRIENTES AERO	Humedad relativa (%)	71.6	74.1	76.6	78.8	80.3	80.4	75.2	70.0	68.5	72.1	70.7	71.2	
CORRIENTES AERO	Velocidad del Viento (km/h) (2011-2020)	11.6	11.4	11.2	10.3	10.7	10.7	11.2	13.7	13.8	14.5	13.0	12.2	
CORRIENTES AERO	Nubosidad total (octavos)	3.5	3.6	3.3	3.6	3.9	4.3	3.7	3.2	3.6	3.8	3.2	3.5	
CORRIENTES AERO	Precipitación (mm)	179.5	152.2	155.2	170.8	87.8	65.3	32.2	40.3	60.3	153.8	184.8	172.9	
CORRIENTES AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.6	7.3	7.1	7.2	5.5	4.5	3.6	3.1	5.2	8.3	8.1	7.6	
POSADAS AERO	Temperatura (°C)	27.2	26.5	25.1	22.3	18.6	17.1	16.3	18.2	20.0	22.6	24.4	26.5	
POSADAS AERO	Temperatura máxima (°C)	33.0	32.4	31.0	28.0	23.9	22.2	22.0	24.5	25.9	28.5	30.4	32.3	
POSADAS AERO	Temperatura mínima (°C)	22.1	21.7	20.4	17.7	14.4	13.1	11.8	13.3	15.0	17.6	18.9	21.1	
POSADAS AERO	Humedad relativa (%)	68.1	70.4	71.9	74.4	77.3	77.5	73.9	68.3	67.9	69.6	65.4	66.3	
POSADAS AERO	Velocidad del Viento (km/h) (2011-2020)	9.8	9.7	9.3	9.0	9.1	9.8	10.0	11.5	11.4	12.2	11.2	10.4	
POSADAS AERO	Nubosidad total (octavos)	3.4	3.6	3.3	3.3	3.7	4.0	3.5	3.4	3.6	3.8	3.2	3.4	
POSADAS AERO	Precipitación (mm)	168.7	136.9	171.0	179.0	138.4	128.6	94.1	87.1	132.8	253.4	178.8	204.4	
POSADAS AERO	Frecuencia de días con Precipitación superior a 1.0 mm	8.1	7.8	7.8	7.6	7.5	6.6	6.7	5.6	8.1	10.4	8.0	8.1	
OBERÁ	Temperatura (°C)	S/D	S/D	23.3	20.7	16.9	15.7	S/D	S/D	18.8	21.1	22.9	24.7	
OBERÁ	Temperatura máxima (°C)	S/D	S/D	30.2	27.1	23.0	21.5	S/D	S/D	25.3	27.9	29.7	31.6	
OBERÁ	Temperatura mínima (°C)	S/D	S/D	18.5	15.9	12.7	11.5	S/D	S/D	13.4	16.1	17.1	19.3	
OBERÁ	Humedad relativa (%)	S/D	S/D	81.3	82.4	84.6	83.6	S/D	S/D	76.4	77.4	74.7	75.9	
OBERÁ	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
OBERÁ	Nubosidad total (octavos)	S/D	S/D	3.4	3.3	3.8	3.9	S/D	S/D	3.7	4.0	3.3	3.5	
OBERÁ	Precipitación (mm)	S/D	S/D	S/D	215.2	143.4	153.3	S/D	S/D	157.7	S/D	184.0	S/D	
OBERÁ	Frecuencia de días con Precipitación superior a 1.0 mm	S/D	S/D	S/D	8.5	8.7	8.0	S/D	S/D	9.5	S/D	8.5	S/D	
TINOGASTA	Temperatura (°C)	25.9	24.7	22.9	18.8	14.0	11.0	10.2	13.7	17.2	21.5	24.2	26.2	
TINOGASTA	Temperatura máxima (°C)	33.8	32.5	31.0	27.2	22.6	20.3	20.0	23.6	26.5	30.2	32.6	34.2	
TINOGASTA	Temperatura mínima (°C)	18.9	17.6	15.7	10.5	5.1	1.4	0.2	2.7	6.5	11.4	15.3	18.0	
TINOGASTA	Humedad relativa (%)	55.5	58.2	59.9	61.1	62.7	57.8	53.8	46.0	45.2	46.3	48.1	49.5	
TINOGASTA	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
TINOGASTA	Nubosidad total (octavos)	4.3	4.0	3.5	2.9	3.0	2.9	2.3	2.0	2.2	2.5	3.1	3.6	
TINOGASTA	Precipitación (mm)	37.4	27.0	17.9	6.2	3.1	2.5	2.0	1.2	1.5	4.9	8.0	21.3	
TINOGASTA	Frecuencia de días con Precipitación superior a 1.0 mm	4.8	4.2	2.8	0.9	0.8	0.4	0.6	0.3	0.6	0.8	1.0	2.7	
CHILECITO AERO	Temperatura (°C)	25.7	24.4	22.3	18.1	13.6	10.3	9.5	13.1	16.6	20.7	23.2	25.6	
CHILECITO AERO	Temperatura máxima (°C)	33.7	32.0	29.9	25.5	21.0	18.3	18.0	21.6	25.0	28.7	31.7	33.7	
CHILECITO AERO	Temperatura mínima (°C)	19.1	17.7	16.2	11.8	6.8	2.7	1.5	3.9	7.8	12.6	16.1	18.4	
CHILECITO AERO	Humedad relativa (%)	59.3	62.0	65.3	S/D	68.5	65.3	61.4	53.7	51.0	52.6	54.3	55.3	
CHILECITO AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
CHILECITO AERO	Nubosidad total (octavos)	3.6	3.6	3.4	3.1	3.1	2.7	2.1	1.9	2.0	2.5	2.8	3.0	
CHILECITO AERO	Precipitación (mm)	S/D	32.0	S/D	11.7	3.7	1.2	2.3	S/D	2.2	5.4	S/D	S/D	
CHILECITO AERO	Frecuencia de días con Precipitación superior a 1.0 mm	S/D	3.6	S/D	1.7	0.8	0.3	0.6	S/D	0.4	0.8	S/D	S/D	
LA RIOJA AERO	Temperatura (°C)	27.6	26.0	23.9	19.8	15.3	11.4	10.6	14.2	18.4	22.8	25.6	27.6	
LA RIOJA AERO	Temperatura máxima (°C)	35.2	33.2	30.8	26.8	22.6	19.7	19.5	23.3	26.9	30.8	33.6	35.4	
LA RIOJA AERO	Temperatura mínima (°C)	21.5	20.1	18.6	14.6	9.9	5.6	4.2	6.9	11.3	15.9	18.9	20.8	
LA RIOJA AERO	Humedad relativa (%)	59.9	63.9	67.9	70.0	71.1	70.3	63.2	52.2	47.6	49.3	51.5	54.4	
LA RIOJA AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
LA RIOJA AERO	Nubosidad total (octavos)	3.9	4.0	3.8	3.6	3.6	3.2	2.5	2.1	2.4	2.9	3.2	3.5	
LA RIOJA AERO	Precipitación (mm)	90.3	78.8	63.4	30.8	8.2	4.0	4.2	3.3	5.5	19.5	32.0	66.9	
LA RIOJA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.1	6.6	5.4	3.3	1.7	0.7	0.7	0.5	1.3	2.0	3.4	5.6	
CATAMARCA AERO	Temperatura (°C)	27.8	26.4	24.6	20.7	16.2	12.2	11.7	15.8	19.8	23.7	26.0	27.6	
CATAMARCA AERO	Temperatura máxima (°C)	34.5	33.0	31.3	27.6	23.4	20.2	20.3	24.3	27.7	30.8	32.8	34.6	
CATAMARCA AERO	Temperatura mínima (°C)	21.9	20.8	19.2	15.0	10.3	5.6	4.5	7.7	12.2	16.9	19.6	21.3	
CATAMARCA AERO	Humedad relativa (%)	55.0	59.1	62.5	65.0	66.5	65.3	56.4	44.7	40.5	44.4	47.0	50.2	
CATAMARCA AERO	Velocidad del Viento (km/h) (2011-2020)	22.0	19.8	18.9	15.5	13.0	11.5	12.4	16.6	19.1	21.7	24.0	23.6	
CATAMARCA AERO	Nubosidad total (octavos)	3.5	3.5	3.3	3.4	3.5	3.3	2.7	2.4	2.5	3.0	3.0	3.1	
CATAMARCA AERO	Precipitación (mm)	80.9	73.8	50.1	31.1	12.7	7.0	4.1	2.9	5.6	24.4	45.1	73.4	
CATAMARCA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.0	6.0	5.1	4.1	2.2	1.2	1.1	0.6	1.3	3.0	4.3	6.3	
VILLA DE MARÍA DEL RÍO SECO	Temperatura (°C)	24.5	22.7	21.0	17.5	13.9	11.0	9.9	12.7	15.8	19.3	21.9	23.9	
VILLA DE MARÍA DEL RÍO SECO	Temperatura máxima (°C)	31.8	29.8	28.1	24.5	21.3	18.9	18.7	21.9	24.3	26.9	29.4	31.3	
VILLA DE MARÍA DEL RÍO SECO	Temperatura mínima (°C)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
VILLA DE MARÍA DEL RÍO SECO	Humedad relativa (%)	73.1	79.3	81.2	81.9	81.1	78.6	73.9	66.6	65.1	68.3	69.0	69.8	
VILLA DE MARÍA DEL RÍO SECO	Velocidad del Viento (km/h) (2011-2020)	6.4	4.9	4.3	4.0	4.2	4.4	5.1	6.2	6.6	7.6	7.0	6.5	
VILLA DE MARÍA DEL RÍO SECO	Nubosidad total (octavos)	3.8	4.0	3.9	4.2	4.4	4.0	3.3	2.8	3.1	3.7	3.5	3.7	
VILLA DE MARÍA DEL RÍO SECO	Precipitación (mm)	114.3	115.5	116.6	64.3	24.5	9.1	8.0	4.9	20.8	64.8	89.8	120.3	
VILLA DE MARÍA DEL RÍO SECO	Frecuencia de días con Precipitación superior a 1.0 mm	7.8	7.0	7.2	6.0	3.0	1.4	1.3	0.6	2.2	5.3	7.1	7.9	
CERES AERO	Temperatura (°C)	25.5	24.3	22.5	19.1	15.5	12.7	11.6	14.0	16.7	20.0	22.4	24.6	
CERES AERO	Temperatura máxima (°C)	32.3	31.1	29.3	25.5	22.0	19.4	19.1	22.2	24.5	27.1	29.3	31.4	
